sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
7.826788442691668,3.2406784060039615,5.9,2.1,2
7.4809376964420515,3.3548661227058996,5.8,1.6,2
8.245770056071603,3.8897045016685654,6.4,2.0,2
6.550355123905685,2.681636891626924,4.1,1.0,1
6.564412303739744,2.8954202815502184,5.6,1.4,2
5.865869364220904,3.961581023665557,1.6,0.2,0
4.960983427346554,3.6838122565443117,1.6,0.2,0
7.246626480923154,2.9157019403490088,4.6,1.3,1
5.64921669267335,3.6366142019842758,1.5,0.2,0
5.649709847065977,3.3121611937913027,1.5,0.2,0
7.163376095133229,3.05556947915065,4.6,1.5,1
6.185517281025024,4.562003522724314,1.4,0.2,0
6.600252424284066,3.6434376585087516,5.4,2.3,2
6.310048106555864,2.400440945730202,4.0,1.0,1
7.007777868210338,3.449550682763736,4.7,1.6,1
5.811505922334422,2.8743098772540563,3.9,1.4,1
6.488716377981697,2.8010936320147666,5.1,1.9,2
5.125769388387912,3.8093948427455255,1.4,0.1,0
5.437157116333958,3.2672277065333875,1.4,0.2,0
7.755906922484187,2.9755015564269423,6.1,1.9,2
5.132154122768939,3.262155986366033,1.5,0.2,0
5.470433644219681,3.251864492545825,1.6,0.2,0
6.402238869798005,3.1349623531260673,4.5,1.5,1
5.09526140282228,3.317673562065976,1.5,0.1,0
6.5534698363225115,3.1634339206206006,4.0,1.3,1
6.626901212365697,3.6329043962204963,5.6,2.4,2
5.194831250205076,3.6150936074112385,1.4,0.3,0
6.629922186813056,2.8653499878559554,5.1,1.9,2
6.062862258559103,2.55943234745841,3.7,1.0,1
5.5823866851263055,3.4133073000107954,1.2,0.2,0
